Streetname,Street Range (FROM - TO),Postcode,Area
1ης Απριλίου Λεωφόρος,,6035,Λάρνακα
1ης Απριλίου Λεωφόρος,,7104,Αραδίππου
9ης Ιουλίου,,6018,Λάρνακα
9ης Ιουλίου,,7104,Αραδίππου
15ης Ιανουαρίου,,6018,Λάρνακα
25ης Μαρτίου,,6052,Λάρνακα
25ης Μαρτίου Λεωφόρος,,7104,Αραδίππου
28ης Οκτωβρίου,,6025,Λάρνακα
28ης Οκτωβρίου Λεωφόρος,,7104,Αραδίππου
Α,,,
Αβραάμ Αντωνίου,,6041,Λάρνακα
Αγάθωνος,,6056,Λάρνακα
Αγαμέμνονος,,6035,Λάρνακα
Αγαμέμνονος,,7102,Αραδίππου
Αγαπήνορος,,6031,Λάρνακα
Αγγαστίνας,,7100,Αραδίππου
Άγγελου Βλάχου,,6052,Λάρνακα
Άγγελου Σικελιανού,,6016,Λάρνακα
Άγγελου Τερζάκη,,6037,Λάρνακα
Αγγέλων,,6057,Λάρνακα
Αγησιλάου,,6045,Λάρνακα
Αγησιλάου,,7101,Αραδίππου
Αγίας Αικατερίνης,,6037,Λάρνακα
Αγίας Αικατερίνης,,7104,Αραδίππου
Αγίας Αναστασίας,,7101,Αραδίππου
Αγίας Άννης,,7101,Αραδίππου
Αγίας Βαρβάρας,,6059,Λάρνακα
Αγίας Βερονίκης,,7101,Αραδίππου
Αγίας Γραφής,,7102,Αραδίππου
Αγίας Ειρήνης,,7100,Αραδίππου
Αγίας Ελένης,,6021,Λάρνακα
Αγίας Ελένης,,7104,Αραδίππου
Αγίας Ζωής,,7101,Αραδίππου
Αγίας Ζώνης,,7101,Αραδίππου
Αγίας Θέκλης,,6053,Λάρνακα
Αγίας Θεογνωσίας,,7101,Αραδίππου
Αγίας Λαύρας,,6030,Λάρνακα
Αγίας Λαύρας,,7104,Αραδίππου
Αγίας Μαρίνας,,7101,Αραδίππου
Αγίας Μαύρης,,7104,Αραδίππου
Αγίας Παρασκευής,,7101,Αραδίππου
Αγίας Πύλης,,7103,Αραδίππου
Αγίας Σοφίας,,6052,Λάρνακα
Αγίας Σοφίας Λεωφόρος,,7104,Αραδίππου
Αγίας Τριάδος,,6037,Λάρνακα
Αγίας Τριάδος,,7100,Αραδίππου
Αγίας Φωτεινής,,6053,Λάρνακα
Αγίας Φωτεινής,,7101,Αραδίππου
Αγίας Χριστίνης,,7101,Αραδίππου
Αγίου Αθανασίου,,7102,Αραδίππου
Αγίου Αμβροσίου,,7100,Αραδίππου
Αγίου Αντωνίου,,6040,Λάρνακα
Αγίου Αντωνίου,,7102,Αραδίππου
Αγίου Αρτεμίου,,7102,Αραδίππου
Αγίου Αυξεντίου,,7101,Αραδίππου
Αγίου Βασιλείου,,6040,Λάρνακα
Αγίου Βασιλείου,,7100,Αραδίππου
Αγίου Γεωργίου,,7104,Αραδίππου
Αγίου Γεωργίου Κοντού,"35 - 79, 44 - 84",6045,Λάρνακα
Αγίου Γεωργίου Κοντού,81 - τ.  86 - τ.,6046,Λάρνακα
Αγίου Γεωργίου Μακρή,"1 - 71, 2 - 60",6036,Λάρνακα
Αγίου Γεωργίου Μακρή,62 - τ. 73 - τ.,6037,Λάρνακα
Αγίου Γεωργίου Πτωχού,,7101,Αραδίππου
Αγίου Γρηγορίου,,6040,Λάρνακα
Αγίου Γρηγορίου,,7101,Αραδίππου
Αγίου Δαμιανού,,7101,Αραδίππου
Αγίου Δημητρίου,,6013,Λάρνακα
Αγίου Δημητρίου,,7104,Αραδίππου
Αγίου Ελευθερίου,,7101,Αραδίππου
Αγίου Ελευθερίου Πλατεία,,6040,Λάρνακα
Αγίου Επικτήτου,,7100,Αραδίππου
Αγίου Επιφανίου,,6015,Λάρνακα
Αγίου Επιφανίου,,7102,Αραδίππου
Αγίου Ερμολάου,,7100,Αραδίππου
Αγίου Ευθυμίου,,6040,Λάρνακα
Αγίου Ευσταθίου,,7101,Αραδίππου
Αγίου Εφραίμ,,7102,Αραδίππου
Αγίου Θεοδοσίου,,7104,Αραδίππου
Αγίου Θεοδώρου,,6040,Λάρνακα
Αγίου Θωμά,,7104,Αραδίππου
Αγίου Ιακώβου,,6012,Λάρνακα
Αγίου Ιακώβου,,7103,Αραδίππου
Αγίου Ιλαρίωνος,,6015,Λάρνακα
Αγίου Ιλαρίωνος,,7104,Αραδίππου
Αγίου Ιωακείμ,,7101,Αραδίππου
Αγίου Ιωάννου,,6050,Λάρνακα
Αγίου Ιωάννου Προδρόμου,,7101,Αραδίππου
Αγίου Ιωάννου Ρώσσου,,6056,Λάρνακα
Αγίου Ιωάννου Χρυσοστόμου,,6013,Λάρνακα
Αγίου Ιωσήφ,,7102,Αραδίππου
Αγίου Κασσιανού,,7101,Αραδίππου
Αγίου Κενδέου,,6036,Λάρνακα
Αγίου Κενδέου,,7103,Αραδίππου
Αγίου Κοσμά,,7101,Αραδίππου
Αγίου Κωνσταντίνου,,6040,Λάρνακα
Αγίου Κωνσταντίνου,,7103,Αραδίππου
Αγίου Λαζάρου,,6020,Λάρνακα
Αγίου Λαζάρου,,7101,Αραδίππου
Αγίου Μάμαντος,,7104,Αραδίππου
Αγίου Μελετίου,,6040,Λάρνακα
Αγίου Μελετίου,,7102,Αραδίππου
Αγίου Μεσρώπ,,6011,Λάρνακα
Αγίου Μηνά,,6040,Λάρνακα
Αγίου Μηνά,,7101,Αραδίππου
Αγίου Μοδέστου,,7101,Αραδίππου
Αγίου Νεκταρίου,,6036,Λάρνακα
Αγίου Νεκταρίου,,7103,Αραδίππου
Αγίου Νεοφύτου,,6015,Λάρνακα
Αγίου Νεοφύτου,,7102,Αραδίππου
Αγίου Νεοφύτου Πλατεία,,6056,Λάρνακα
Αγίου Νικήτα,,7101,Αραδίππου
Αγίου Νικολάου,,7100,Αραδίππου
Αγίου Όρους,,6036,Λάρνακα
Αγίου Όρους,,7100,Αραδίππου
Αγίου Παντελεήμονος,,6036,Λάρνακα
Αγίου Παντελεήμονος,,7104,Αραδίππου
Αγίου Πολυκάρπου,,6040,Λάρνακα
Αγίου Πολυκάρπου,,7103,Αραδίππου
Αγίου Προκοπίου,,6040,Λάρνακα
Αγίου Προκοπίου,,7101,Αραδίππου
Αγίου Ραφαήλ,,7100,Αραδίππου
Αγίου Σάββα,,6040,Λάρνακα
Αγίου Σάββα,,7101,Αραδίππου
Αγίου Σεραφείμ,,7104,Αραδίππου
Αγίου Σεργίου,,6047,Λάρνακα
Αγίου Σεργίου,,7100,Αραδίππου
Αγίου Σπυρίδωνος,,6015,Λάρνακα
Αγίου Σπυρίδωνος,,7102,Αραδίππου
Αγίου Στεφάνου,,7101,Αραδίππου
Αγίου Στυλιανού,,6036,Λάρνακα
Αγίου Στυλιανού,,7103,Αραδίππου
Αγίου Συμεών,,7101,Αραδίππου
Αγίου Συνεσίου,,6017,Λάρνακα
Αγίου Σωζομένου,,7101,Αραδίππου
Αγίου Φανουρίου,,7102,Αραδίππου
Αγίου Φιλίππου,,7104,Αραδίππου
Αγίου Φραγκίσκου Ασσίζης,,6050,Λάρνακα
Αγίου Φωκά,,7104,Αραδίππου
Αγίου Φωτίου,,7101,Αραδίππου
Αγίου Χαραλάμπους,,6035,Λάρνακα
Αγίου Χρυσοστόμου,,6040,Λάρνακα
Αγίου Χρυσοστόμου,,7101,Αραδίππου
Αγίου Χρυσοστόμου Πλατεία,,6050,Λάρνακα
Αγίων Αναργύρων Λεωφόρος,,6057,Λάρνακα
Αγίων Αναργύρων,,7102,Αραδίππου
Αγίων Αναργύρων Πλατεία,,6056,Λάρνακα
Αγίων Αποστόλων,,6040,Λάρνακα
Αγίων Αποστόλων,,7103,Αραδίππου
Αγίων Πάντων,,7101,Αραδίππου
Αγίων Σαράντα,,7101,Αραδίππου
Αγίων Σεργίου και Βάκχου,,7101,Αραδίππου
Άγκυρας,,6026,Λάρνακα
Αγράφων,,6036,Λάρνακα
Αγράφων,,7103,Αραδίππου
Αγρινίου,,6046,Λάρνακα
Αγρινίου,,7104,Αραδίππου
Αδαμαντίου Κοραή,,6010,Λάρνακα
Αδαμαντίου Κοραή,,7102,Αραδίππου
Αδμήτου,,6058,Λάρνακα
Αδριανού,,6010,Λάρνακα
Αδριανού,,7101,Αραδίππου
Αδριανουπόλεως,,6046,Λάρνακα
Αδριανουπόλεως,,7102,Αραδίππου
Αδώνιδος,,6020,Λάρνακα
Αηδονίων,,6052,Λάρνακα
Αθανασίου Διάκου,,6046,Λάρνακα
Αθανασίου Διάκου,,7104,Αραδίππου
Αθανασίου Καρύδη,,6050,Λάρνακα
Αθανασίου Σακελλαρίου,,6012,Λάρνακα
Αθανασίου Σακελλαρίου,,7102,Αραδίππου
Αθανασίου Τσακάλωφ,,6056,Λάρνακα
Αθηνάς,,6021,Λάρνακα
Αθηνοδώρου,,6058,Λάρνακα
Αθηνών Λεωφόρος,"1 - 35, 2 - 34",6023,Λάρνακα
Αθηνών Λεωφόρος,41 - τ. 42 - τ.,6022,Λάρνακα
Αθηνών Λεωφόρος,,7103,Αραδίππου
Αιακού,,6041,Λάρνακα
Αίαντος,,6035,Λάρνακα
Αίαντος,,7101,Αραδίππου
Αιγαίου,,6037,Λάρνακα
Αιγαίου,,7102,Αραδίππου
Αιγιαλούσης,,6047,Λάρνακα
Αιγιαλούσης,,7100,Αραδίππου
Αιγίνης,,6037,Λάρνακα
Αιγίνης,,7104,Αραδίππου
Αιγίου,,7101,Αραδίππου
Αιγύπτου Λεωφόρος,,6030,Λάρνακα
Αιδηψού,,6031,Λάρνακα
Αιθέρων,,6056,Λάρνακα
Αικατερίνης Κορνάρο,,7103,Αραδίππου
Αινείου,,6031,Λάρνακα
Αιόλου,,6045,Λάρνακα
Αιόλου,,7103,Αραδίππου
Αισχύλου,,6035,Λάρνακα
Αισχύλου,,7104,Αραδίππου
Αισώπου,,6020,Λάρνακα
Αισώπου,,7103,Αραδίππου
Αιτωλών,,7100,Αραδίππου
Ακ Ντενίζ,,6026,Λάρνακα
Ακάδημου,,6010,Λάρνακα
Ακανθούς,,6047,Λάρνακα
Ακανθούς,,7104,Αραδίππου
Ακαρνανίας,,7104,Αραδίππου
Ακροπόλεως,,6052,Λάρνακα
Ακροπόλεως Λεωφόρος,1 - τ.,7101,Αραδίππου
Ακροπόλεως Λεωφόρος,2 - τ.,7103,Αραδίππου
Αλαμάνας,,6030,Λάρνακα
Αλαμάνας,,7103,Αραδίππου
Αλβανικού Επους,,6041,Λάρνακα
Αλβέρτου Αϊνστάιν,,6031,Λάρνακα
Αλβέρτου Σβάιτσερ,,6027,Λάρνακα
Αλεμντάρ,,6026,Λάρνακα
Αλεξανδρείας,,6042,Λάρνακα
Αλεξάνδρου Δελμούζου,,6057,Λάρνακα
Αλεξάνδρου Ζάρρα,,6021,Λάρνακα
Αλεξάνδρου Μαυροκορδάτου,,6052,Λάρνακα
Αλεξάνδρου Μαυροκορδάτου,,7100,Αραδίππου
Αλεξάνδρου Παναγούλη Λεωφόρος,,6057,Λάρνακα
Αλεξάνδρου Παπαδιαμάντη,,6035,Λάρνακα
Αλεξάνδρου Παπαδιαμάντη,,7103,Αραδίππου
Αλεξάνδρου Παπαναστασίου,,6027,Λάρνακα
Αλεξάνδρου Ραγκαβή,,6047,Λάρνακα
Αλεξάνδρου Υψηλάντη,,6057,Λάρνακα
Αλεξάνδρου Υψηλάντη,,7103,Αραδίππου
Αλεξανδρουπόλεως,,6037,Λάρνακα
Αλεξανδρουπόλεως,,7100,Αραδίππου
Αλή Ντεντέ,,6050,Λάρνακα
Αλιάκμονος,,7104,Αραδίππου
Αλικαρνασσού,,6052,Λάρνακα
Αλικαρνασσού,,7104,Αραδίππου
Αλκαίου,,6045,Λάρνακα
Αλκαμένους,,6031,Λάρνακα
Αλκιβιάδους,,6045,Λάρνακα
Αλκιβιάδους,,7104,Αραδίππου
Αλκινόου,,6056,Λάρνακα
Αλμυρού,,6040,Λάρνακα
Άλπεων,,7105,Αραδίππου
Αλσουπόλεως,,6052,Λάρνακα
Αλφειού,,6056,Λάρνακα
Αμαζόνων,,6027,Λάρνακα
Αμαζόνων,,7103,Αραδίππου
Αμαθούντος,,6025,Λάρνακα
Αμαθούντος,,7104,Αραδίππου
Αμαλθείας,,6055,Λάρνακα
Αμαρυλλίδος,,6018,Λάρνακα
Αμμοχώστου Λεωφόρος,,7104,Αραδίππου
Αμοργού,,6036,Λάρνακα
Αμοργού,,7104,Αραδίππου
Αμφιλοχίας,,6036,Λάρνακα
Αμφιλοχίας,,7104,Αραδίππου
Αμφίσσης,,6018,Λάρνακα
Αμφιτρίτης,,6050,Λάρνακα
Αναβύσσου,,6040,Λάρνακα
Αναγεννήσεως,,6050,Λάρνακα
Αναγεννήσεως,,7102,Αραδίππου
Ανακρέοντος,,6058,Λάρνακα
Αναξαγόρου,,6031,Λάρνακα
Αναξίμανδρου,,6027,Λάρνακα
Ανατολής,,7104,Αραδίππου
Αναφέρτου,,6025,Λάρνακα
Ανάφης,,6041,Λάρνακα
Ανδρέα Βλάμη,,7100,Αραδίππου
Ανδρέα Γεωργίου,,7104,Αραδίππου
Ανδρέα Δημητρίου,,7104,Αραδίππου
Ανδρέα Ζάκου,,6030,Λάρνακα
Ανδρέα Ζάκου,,7101,Αραδίππου
Ανδρέα Θεμιστοκλέους,,6045,Λάρνακα
Ανδρέα Θεοδοσίου,,6057,Λάρνακα
Ανδρέα Κάλβου,,6031,Λάρνακα
Ανδρέα Κάλβου,,7102,Αραδίππου
Ανδρέα Καρκαβίτσα,,6041,Λάρνακα
Ανδρέα Καρκαβίτσα,,7102,Αραδίππου
Ανδρέα Κάρυου,,7103,Αραδίππου
Ανδρέα Κέλπη,,7104,Αραδίππου
Ανδρέα Μαππούρα,,7104,Αραδίππου
Ανδρέα Μιαούλη,,6017,Λάρνακα
Ανδρέα Μιαούλη,,7102,Αραδίππου
Ανδρέα Μιχαηλά,,7101,Αραδίππου
Ανδρέα Μουζάκη,,6056,Λάρνακα
Ανδρέα Ονησιφόρου,,7101,Αραδίππου
Ανδρέα Παναγίδη,,7103,Αραδίππου
Ανδρέα Παπαδοπούλου,,6042,Λάρνακα
Ανδρέα Πιπίνου,,6013,Λάρνακα
Ανδρέα Πιπίνου,,7104,Αραδίππου
Ανδρέα Σουρουκλή,,6021,Λάρνακα
Ανδρέα Σουρουκλή,,7104,Αραδίππου
Ανδρέα Στέλιου,,6015,Λάρνακα
Ανδρέα Στρουθίδη,,6045,Λάρνακα
Ανδρέα Στρουθίδη,,7101,Αραδίππου
Ανδρέα Χαραλαμπίδη,,6041,Λάρνακα
Ανδροκλέους,,6056,Λάρνακα
Ανδρομάχης,,6041,Λάρνακα
Ανδρομάχης,,7104,Αραδίππου
Ανδρομέδας Πλατεία,,6056,Λάρνακα
Ανεξαρτησίας Λεωφόρος,,6047,Λάρνακα
Ανθέων,,6041,Λάρνακα
Ανθέων,,7103,Αραδίππου
Ανθίμου Γαζή,,6052,Λάρνακα
Αννίβα Φράνσις,,6031,Λάρνακα
Ανοικοδομήσεως,,6056,Λάρνακα
Άνοιξης,,6041,Λάρνακα
Ανταίου,,6052,Λάρνακα
Ανταίου,,7101,Αραδίππου
Άντη Περνάρη,,6057,Λάρνακα
Αντιγόνου,,6036,Λάρνακα
Αντιόπης,,6058,Λάρνακα
Αντιόχου,,6058,Λάρνακα
Αντιστάσεως,,6056,Λάρνακα
Αντιστράτηγου Ευάγγελου Φλωράκη,,6037,Λάρνακα
Αντιφωνητού,,6056,Λάρνακα
Αντώνη Κλόκκαρη,,6041,Λάρνακα
Αντώνη Παπαδοπούλου,,6053,Λάρνακα
Αξιού,,7104,Αραδίππου
Απελλή,,6056,Λάρνακα
Απολλοδώρου,,6020,Λάρνακα
Απολλωνίου Κιτιέως,,6025,Λάρνακα
Απόλλωνος,,6016,Λάρνακα
Απόλλωνος,,7102,Αραδίππου
Αποστόλου Ανδρέου,,6012,Λάρνακα
Αποστόλου Ανδρέου,,7100,Αραδίππου
Αποστόλου Βαρνάβα,,6023,Λάρνακα
Αποστόλου Βαρνάβα,,7103,Αραδίππου
Αποστόλου Λουκά,,6012,Λάρνακα
Αποστόλου Λουκά Πλατεία,,7104,Αραδίππου
Αποστόλου Μάρκου,,6012,Λάρνακα
Αποστόλου Ματθαίου,,6012,Λάρνακα
Αποστόλου Παύλου,,6023,Λάρνακα
Αποστόλου Παύλου,,7102,Αραδίππου
Αποστόλου Πέτρου,,7103,Αραδίππου
Αραδίππου,,6051,Λάρνακα
Αράμ Καλαϊτζιάν,,6040,Λάρνακα
Αράχωβας,,6036,Λάρνακα
Αράχωβας,,7101,Αραδίππου
Αρβέλας,,6051,Λάρνακα
Αργολίδος,,7101,Αραδίππου
Αργοναυτών,,6045,Λάρνακα
Άργους,,6036,Λάρνακα
Άργους,,7102,Αραδίππου
Αργύρη Εφταλιώτη,,6041,Λάρνακα
Αργυροκάστρου,,6036,Λάρνακα
Αρεθούσης,,6031,Λάρνακα
Αρετούσας,,6036,Λάρνακα
Άρεως,,6016,Λάρνακα
Αρήτης,,6031,Λάρνακα
Αριάδνης,,6056,Λάρνακα
Αριάδνης,,7102,Αραδίππου
Αριστάρχου Δημητρίου,,6041,Λάρνακα
Αριστείδου,,6050,Λάρνακα
Αριστείδου,,7103,Αραδίππου
Αριστομένη Προβελέγγιου,,6056,Λάρνακα
Αριστομένους,,6020,Λάρνακα
Αριστοτέλη Βαλαωρίτη,,6017,Λάρνακα
Αριστοτέλη Κουρτίδη,,6052,Λάρνακα
Αριστοτέλους,,7103,Αραδίππου
Αριστοφάνους,,6035,Λάρνακα
Αριστοφάνους,,7103,Αραδίππου
Αρίωνος,,6052,Λάρνακα
Αρκαδίου,,6030,Λάρνακα
Αρκαδίου,,7104,Αραδίππου
Αρκτούρου,,6053,Λάρνακα
Αρμενίας,,6052,Λάρνακα
Αρμενίας,,7102,Αραδίππου
Αρμενικής Εκκλησίας,,6022,Λάρνακα
Αρμονίας,"1 - 11, 2 - 2",6046,Λάρνακα
Αρμονίας,4 - τ. 13 - τ.,7102,Αραδίππου
Αρσινόης,,6013,Λάρνακα
Αρσινόης,,7101,Αραδίππου
Άρσους,,6056,Λάρνακα
Άρτας,,6036,Λάρνακα
Άρτας,,7102,Αραδίππου
Αρτέμιδος Λεωφόρος,1 - 13,6020,Λάρνακα
Αρτέμιδος Λεωφόρος,2 - 34,6030,Λάρνακα
Αρτέμιδος Λεωφόρος,15 - 51,6025,Λάρνακα
Αρτέμιδος Λεωφόρος,36 - τ.,6031,Λάρνακα
Αρτέμιδος Λεωφόρος,53 - τ.,6027,Λάρνακα
Αρτέμιδος,,7104,Αραδίππου
Αρχαγγέλου Γαβριήλ,,7102,Αραδίππου
Αρχαγγέλου Μιχαήλ,,7104,Αραδίππου
Αρχαγγέλων,,6036,Λάρνακα
Αρχελάου,,6052,Λάρνακα
Αρχιδάμου,,6036,Λάρνακα
Αρχιδάμου,,7101,Αραδίππου
Αρχιεπισκόπου Ανθεμίου,,6036,Λάρνακα
Αρχιεπισκόπου Κυρίλλου Β',"1 - 47, 2 - 58",6050,Λάρνακα
Αρχιεπισκόπου Κυρίλλου Β',49 - τ. 60 - τ.,6051,Λάρνακα
Αρχιεπισκόπου Κυπριανού Λεωφόρος,"1 - 23, 2 - 34",6016,Λάρνακα
Αρχιεπισκόπου Κυπριανού Λεωφόρος,25 - τ. 36 - τ.,6015,Λάρνακα
Αρχιεπισκόπου Κυπριανού,,7104,Αραδίππου
Αρχιεπισκόπου Λεοντίου Α',,6021,Λάρνακα
Αρχιεπισκόπου Μακαρίου Γ' Λεωφόρος,,6017,Λάρνακα
Αρχιεπισκόπου Μακαρίου Γ' Λεωφόρος,"1 - 53, 2 - 34",7104,Αραδίππου
Αρχιεπισκόπου Μακαρίου Γ' Λεωφόρος,36 - τ. 55 - τ.,7102,Αραδίππου
Αρχιεπισκόπου Παϊσίου,1 - τ.,6041,Λάρνακα
Αρχιεπισκόπου Παϊσίου,2 - τ.,7101,Αραδίππου
Αρχιμανδρίτου Μακαρίου Μαχαιριώτου,,6051,Λάρνακα
Αρχιμήδους,,6031,Λάρνακα
Αρχιμήδους,,7103,Αραδίππου
Ασκληπιού,,6021,Λάρνακα
Ασκληπιού,,7102,Αραδίππου
Ασπασίας,,7102,Αραδίππου
Άσσειας,,6047,Λάρνακα
Αστυπάλαιας,,6059,Λάρνακα
Αταλάντης,,6058,Λάρνακα
Ατλαντίδος,,7100,Αραδίππου
